Run,يركض
"Please select the checkbox above","يرجى تحديد مربع الاختيار أعلاه"
"%1 is not writable","٪ 1 غير قابل للكتابة"
"More in %1...","المزيد في٪ 1 ..."
"Completed. {count} items were processed.","منجز. تمت معالجة {count} من العناصر."
Success,نجاح
"An error occured:","حدث خطأ:"
"Easy Catalog Images","صور كتالوج سهلة"
"Use category image, when thumbnail is not available","استخدم صورة الفئة ، عندما لا تتوفر الصورة المصغرة"
"Use image helper to resize images","استخدم مساعد الصورة لتغيير حجم الصور"
"Background color","لون الخلفية"
"Image placeholder","عنصر نائب للصورة"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","أنواع الملفات المسموح بها: PNG و GIF و JPG و JPEG و SVG."
"Category page","صفحة الفئة"
"Enabled for default categories","ممكّن للفئات الافتراضية"
"Enabled for anchor categories","ممكّن لفئات الارتساء"
"Hidden, when filter or pagination is used","مخفي ، عند استخدام مرشح أو ترقيم الصفحات"
"Number of categories to show","عدد الفئات المراد إظهارها"
"Columns count","عدد الأعمدة"
"Show images","عرض الصور"
"Image width","عرض الصورة"
"Image height","ارتفاع الصورة"
"Number of subcategories to show","عدد الفئات الفرعية المراد إظهارها"
"Automated Image Assignment","التعيين الآلي للصورة"
"Fill category thumbnails","ملء الصور المصغرة للفئة"
"Search in child categories","البحث في فئات الأطفال"
"Select Category...","اختر الفئة..."
"Categories to show","فئات للعرض"
"Categories to hide","فئات للاختباء"
